video_index,video_id,video_key,model,dimension,n,score_human,sd_human,llm_video_id,score_llm
1,eS1r2Qi0qUM,eS1r2Qi0qUM,GPT-4.1,accuracy,36,75.6944,24.265,v_eS1r2Qi0qUM,90.0
1,eS1r2Qi0qUM,eS1r2Qi0qUM,GPT-4.1,completeness,36,52.0833,24.9106,v_eS1r2Qi0qUM,70.0
1,eS1r2Qi0qUM,eS1r2Qi0qUM,GPT-4.1,conciseness,36,61.8056,28.3386,v_eS1r2Qi0qUM,98.0
1,eS1r2Qi0qUM,eS1r2Qi0qUM,GPT-4.1,relevance,36,73.6111,22.3163,v_eS1r2Qi0qUM,100.0
1,eS1r2Qi0qUM,eS1r2Qi0qUM,Llama 4,accuracy,36,79.8611,23.0058,v_eS1r2Qi0qUM,90.0
1,eS1r2Qi0qUM,eS1r2Qi0qUM,Llama 4,completeness,36,75.6944,25.6947,v_eS1r2Qi0qUM,75.0
1,eS1r2Qi0qUM,eS1r2Qi0qUM,Llama 4,conciseness,36,86.1111,20.2171,v_eS1r2Qi0qUM,95.0
1,eS1r2Qi0qUM,eS1r2Qi0qUM,Llama 4,relevance,36,85.4167,19.2493,v_eS1r2Qi0qUM,90.0
1,eS1r2Qi0qUM,eS1r2Qi0qUM,SkimCap,accuracy,36,19.4444,26.1255,v_eS1r2Qi0qUM,30.0
1,eS1r2Qi0qUM,eS1r2Qi0qUM,SkimCap,completeness,36,22.2222,27.2408,v_eS1r2Qi0qUM,25.0
1,eS1r2Qi0qUM,eS1r2Qi0qUM,SkimCap,conciseness,36,38.8889,29.5468,v_eS1r2Qi0qUM,70.0
1,eS1r2Qi0qUM,eS1r2Qi0qUM,SkimCap,relevance,36,27.7778,27.2408,v_eS1r2Qi0qUM,35.0
2,UXi0Cy16-0Y,UXi0Cy16-0Y,GPT-4.1,accuracy,36,81.25,22.6582,v_UXi0Cy16-0Y,80.0
2,UXi0Cy16-0Y,UXi0Cy16-0Y,GPT-4.1,completeness,36,85.4167,18.2981,v_UXi0Cy16-0Y,70.0
2,UXi0Cy16-0Y,UXi0Cy16-0Y,GPT-4.1,conciseness,36,75.6944,27.049,v_UXi0Cy16-0Y,90.0
2,UXi0Cy16-0Y,UXi0Cy16-0Y,GPT-4.1,relevance,36,79.8611,23.7693,v_UXi0Cy16-0Y,95.0
2,UXi0Cy16-0Y,UXi0Cy16-0Y,Llama 4,accuracy,36,13.1944,20.2538,v_UXi0Cy16-0Y,30.0
2,UXi0Cy16-0Y,UXi0Cy16-0Y,Llama 4,completeness,36,25.6944,27.049,v_UXi0Cy16-0Y,25.0
2,UXi0Cy16-0Y,UXi0Cy16-0Y,Llama 4,conciseness,36,23.6111,22.3163,v_UXi0Cy16-0Y,40.0
2,UXi0Cy16-0Y,UXi0Cy16-0Y,Llama 4,relevance,36,19.4444,23.2311,v_UXi0Cy16-0Y,30.0
2,UXi0Cy16-0Y,UXi0Cy16-0Y,SkimCap,accuracy,36,11.8056,15.2199,v_UXi0Cy16-0Y,15.0
2,UXi0Cy16-0Y,UXi0Cy16-0Y,SkimCap,completeness,36,26.3889,27.9952,v_UXi0Cy16-0Y,10.0
2,UXi0Cy16-0Y,UXi0Cy16-0Y,SkimCap,conciseness,36,18.0556,19.4671,v_UXi0Cy16-0Y,30.0
2,UXi0Cy16-0Y,UXi0Cy16-0Y,SkimCap,relevance,36,16.6667,23.1455,v_UXi0Cy16-0Y,20.0
3,VtIMPJjcdn4,VtIMPJjcdn4,GPT-4.1,accuracy,36,79.1667,22.7565,v_VtIMPJjcdn4,75.0
3,VtIMPJjcdn4,VtIMPJjcdn4,GPT-4.1,completeness,36,78.4722,20.8333,v_VtIMPJjcdn4,70.0
3,VtIMPJjcdn4,VtIMPJjcdn4,GPT-4.1,conciseness,36,79.8611,23.7693,v_VtIMPJjcdn4,65.0
3,VtIMPJjcdn4,VtIMPJjcdn4,GPT-4.1,relevance,36,76.3889,24.6,v_VtIMPJjcdn4,70.0
3,VtIMPJjcdn4,VtIMPJjcdn4,Llama 4,accuracy,36,76.3889,25.3155,v_VtIMPJjcdn4,85.0
3,VtIMPJjcdn4,VtIMPJjcdn4,Llama 4,completeness,36,72.2222,27.8887,v_VtIMPJjcdn4,75.0
3,VtIMPJjcdn4,VtIMPJjcdn4,Llama 4,conciseness,36,70.1389,29.1667,v_VtIMPJjcdn4,80.0
3,VtIMPJjcdn4,VtIMPJjcdn4,Llama 4,relevance,36,75.6944,28.9619,v_VtIMPJjcdn4,90.0
3,VtIMPJjcdn4,VtIMPJjcdn4,SkimCap,accuracy,36,18.75,28.8933,v_VtIMPJjcdn4,10.0
3,VtIMPJjcdn4,VtIMPJjcdn4,SkimCap,completeness,36,11.8056,20.2538,v_VtIMPJjcdn4,10.0
3,VtIMPJjcdn4,VtIMPJjcdn4,SkimCap,conciseness,36,31.9444,31.4024,v_VtIMPJjcdn4,20.0
3,VtIMPJjcdn4,VtIMPJjcdn4,SkimCap,relevance,36,11.1111,18.3658,v_VtIMPJjcdn4,10.0
4,rMZtiiLAqoY,rMZtiiLAqoY,GPT-4.1,accuracy,36,59.0278,28.1278,v_rMZtiiLAqoY,60.0
4,rMZtiiLAqoY,rMZtiiLAqoY,GPT-4.1,completeness,36,40.9722,28.7556,v_rMZtiiLAqoY,50.0
4,rMZtiiLAqoY,rMZtiiLAqoY,GPT-4.1,conciseness,36,54.1667,28.3473,v_rMZtiiLAqoY,85.0
4,rMZtiiLAqoY,rMZtiiLAqoY,GPT-4.1,relevance,36,50.6944,30.756,v_rMZtiiLAqoY,60.0
4,rMZtiiLAqoY,rMZtiiLAqoY,Llama 4,accuracy,36,30.5556,27.4585,v_rMZtiiLAqoY,10.0
4,rMZtiiLAqoY,rMZtiiLAqoY,Llama 4,completeness,36,15.9722,18.08,v_rMZtiiLAqoY,5.0
4,rMZtiiLAqoY,rMZtiiLAqoY,Llama 4,conciseness,36,28.4722,25.462,v_rMZtiiLAqoY,70.0
4,rMZtiiLAqoY,rMZtiiLAqoY,Llama 4,relevance,36,20.8333,20.2661,v_rMZtiiLAqoY,10.0
4,rMZtiiLAqoY,rMZtiiLAqoY,SkimCap,accuracy,36,6.25,13.8551,v_rMZtiiLAqoY,5.0
4,rMZtiiLAqoY,rMZtiiLAqoY,SkimCap,completeness,36,6.9444,14.1562,v_rMZtiiLAqoY,3.0
4,rMZtiiLAqoY,rMZtiiLAqoY,SkimCap,conciseness,36,14.5833,22.6582,v_rMZtiiLAqoY,10.0
4,rMZtiiLAqoY,rMZtiiLAqoY,SkimCap,relevance,36,2.7778,9.9602,v_rMZtiiLAqoY,5.0
5,bvnXdr-Hre4,bvnXdr-Hre4,GPT-4.1,accuracy,36,60.4167,26.9755,v_bvnXdr-Hre4,65.0
5,bvnXdr-Hre4,bvnXdr-Hre4,GPT-4.1,completeness,36,55.5556,23.9874,v_bvnXdr-Hre4,55.0
5,bvnXdr-Hre4,bvnXdr-Hre4,GPT-4.1,conciseness,36,60.4167,26.3052,v_bvnXdr-Hre4,75.0
5,bvnXdr-Hre4,bvnXdr-Hre4,GPT-4.1,relevance,36,61.1111,27.6744,v_bvnXdr-Hre4,60.0
5,bvnXdr-Hre4,bvnXdr-Hre4,Llama 4,accuracy,36,34.0278,27.4856,v_bvnXdr-Hre4,40.0
5,bvnXdr-Hre4,bvnXdr-Hre4,Llama 4,completeness,36,43.75,28.2685,v_bvnXdr-Hre4,55.0
5,bvnXdr-Hre4,bvnXdr-Hre4,Llama 4,conciseness,36,54.1667,26.3899,v_bvnXdr-Hre4,85.0
5,bvnXdr-Hre4,bvnXdr-Hre4,Llama 4,relevance,36,50.6944,25.6947,v_bvnXdr-Hre4,60.0
5,bvnXdr-Hre4,bvnXdr-Hre4,SkimCap,accuracy,36,23.6111,26.689,v_bvnXdr-Hre4,30.0
