dimension,metric,metric_direction,n,tau_b,p_b,tau_c,p_c,expected_n,direction_note
accuracy,Bleu_4,higher_better,30,-0.015219409344493775,0.9123370930250525,-0.014285714285714285,0.9123370930250525,30,positive_tau_indicates_same_direction
accuracy,ROUGE_L,higher_better,30,-0.011853967217628719,0.9285015236220778,-0.011904761904761904,0.9285015236220778,30,positive_tau_indicates_same_direction
accuracy,CIDEr,higher_better,30,-0.07349459674929806,0.5779866728771741,-0.07380952380952381,0.5779866728771741,30,positive_tau_indicates_same_direction
accuracy,METEOR,higher_better,30,0.056964556820198964,0.6666350712547264,0.05714285714285714,0.6666350712547264,30,positive_tau_indicates_same_direction
accuracy,R@4,lower_better,30,-0.3659064505612701,0.01362333168332022,-0.2740740740740741,0.01362333168332022,30,negative_tau_can_indicate_agreement
completeness,Bleu_4,higher_better,30,0.002539674861160932,0.9853586647342516,0.002393162393162393,0.9853586647342516,30,positive_tau_indicates_same_direction
completeness,ROUGE_L,higher_better,30,-0.018989576396529505,0.8858229490911618,-0.019145299145299145,0.8858229490911618,30,positive_tau_indicates_same_direction
completeness,CIDEr,higher_better,30,-0.08545309378438276,0.5181742243171908,-0.08615384615384616,0.5181742243171908,30,positive_tau_indicates_same_direction
completeness,METEOR,higher_better,30,0.0784221949541446,0.5535794252043696,0.07897435897435898,0.5535794252043696,30,positive_tau_indicates_same_direction
completeness,R@4,lower_better,30,-0.3564531154716028,0.0163648809787518,-0.26666666666666666,0.0163648809787518,30,negative_tau_can_indicate_agreement
conciseness,Bleu_4,higher_better,30,-0.1269837430580466,0.3588486796565826,-0.11965811965811966,0.3588486796565826,30,positive_tau_indicates_same_direction
conciseness,ROUGE_L,higher_better,30,-0.14242182297397127,0.28150830560409346,-0.1435897435897436,0.28150830560409346,30,positive_tau_indicates_same_direction
conciseness,CIDEr,higher_better,30,0.05222133509045613,0.6929336742851663,0.05264957264957265,0.6929336742851663,30,positive_tau_indicates_same_direction
conciseness,METEOR,higher_better,30,-0.08792791555464696,0.5065548541538496,-0.08854700854700855,0.5065548541538496,30,positive_tau_indicates_same_direction
conciseness,R@4,lower_better,30,-0.3168472137525358,0.03284826650835333,-0.23703703703703705,0.03284826650835333,30,negative_tau_can_indicate_agreement
relevance,Bleu_4,higher_better,30,0.028005147865603784,0.8398221399284257,0.02619047619047619,0.8398221399284257,30,positive_tau_indicates_same_direction
relevance,ROUGE_L,higher_better,30,0.014277218469152156,0.9141283452014198,0.014285714285714285,0.9141283452014198,30,positive_tau_indicates_same_direction
relevance,CIDEr,higher_better,30,-0.009518145646101437,0.9426906297302409,-0.009523809523809525,0.9426906297302409,30,positive_tau_indicates_same_direction
relevance,METEOR,higher_better,30,0.08099739201004422,0.5411039169240273,0.08095238095238096,0.5411039169240273,30,positive_tau_indicates_same_direction
relevance,R@4,lower_better,30,-0.36394722245600775,0.014357219365840106,-0.2716049382716049,0.014357219365840106,30,negative_tau_can_indicate_agreement
